Title,ParentID,CollaborationPeriod,Entity,DescriptionENG,DescriptionSPA,DirectResultsENG,DirectResultsSPA
NSA-2025-39-A_1,39,,NSA/ANE,"In April 2024, UNITE and PAHO jointly contributed to a high-level parliamentary policy dialogue held during the World Bank and International Monetary Fund Spring Meetings on ‘Health is Wealth - Parliamentarians as Key Players in Health Financing.’ The activity advanced collaboration to strengthen parliamentary engagement on sustainable health financing and pandemic preparedness and response. PAHO provided technical insights on pandemic preparedness and response financing and reinforced parliamentarians’ role in aligning budgets with regional health priorities.","En abril de 2024, UNITE y la OPS contribuyeron conjuntamente a un diálogo político parlamentario de alto nivel celebrado durante las Reuniones de Primavera del BM y el FMI sobre ""La salud es riqueza: los parlamentarios como actores clave en la financiación de la salud"". La actividad promovió la colaboración para fortalecer el compromiso parlamentario en la financiación sostenible de la salud y la preparación y respuesta ante pandemias. La OPS proporcionó conocimientos técnicos sobre la financiación de la preparación y respuesta (PPR) y reforzó el papel de los parlamentarios en la alineación de los presupuestos con las prioridades de salud regionales.","- Parliamentarians from all over the world gained a better understanding of the societal relevance of health, the economic pressures on healthcare systems, and the need for countries to actively engage at both national and international levels.
- Highlighted parliamentarians’ role in addressing financial constraints and engaging at national and international levels, and identified UNITE’s IFGH as a key connector for national and international budgetary issues and a supporter of 11 sustainable health investments in health.
- Raised awareness among parliamentarians on the importance of an agreement on pandemic prevention and the opportunities for their involvement in its discussions.","- Los parlamentarios de todo el mundo adquirieron una mejor comprensión de la relevancia social de la salud, las presiones económicas sobre los sistemas de salud y la necesidad de que los países se involucren activamente tanto a nivel nacional como internacional.
- Se destacó el papel de los parlamentarios en la atención a las limitaciones financieras y en el compromiso a niveles nacional e internacional, y se identificó el IFGH de UNITE como un conector clave para los problemas presupuestarios nacionales e internacionales y un defensor de 11 inversiones sostenibles en salud.
- Se concienció a los parlamentarios sobre la importancia de un acuerdo sobre la prevención de pandemias y las oportunidades para su participación en las discusiones al respecto."
NSA-2025-39-A_2,39,,PAHO/OPS & NSA/ANE,"In March 2024, UNITE, in collaboration with PAHO, held a regional parliamentary dialogue for Latin America and the Caribbean under the ‘Let’s Talk Health’ initiative, focusing on antimicrobial resistance (AMR). This activity was part of organized regional engagements where PAHO offers technical input, regional evidence, and policy guidance to inform parliamentary discussions on priority health issues. PAHO contributed through its AMR Special Program, supporting evidence-based dialogue on legislation, budgeting, and implementation challenges in the region.","En marzo de 2024, UNITE, en conjunto con la OPS, llevó a cabo un diálogo parlamentario regional para América Latina y el Caribe bajo la iniciativa 'Hablemos de Salud', centrado en la RAM. La actividad fue parte de compromisos regionales estructurados donde la OPS proporciona insumos técnicos, evidencia regional y orientación política para informar las discusiones parlamentarias sobre temas de salud prioritarios. La OPS contribuyó a través de su Programa Especial de RAM, apoyando un diálogo basado en evidencia sobre legislación, presupuestos y desafíos de implementación en la Región.","As part of its ""Let's Talk Health"" initiative—a series of dedicated regional sessions focused on relevant global health priorities—UNITE provided parliamentarians from Latin America and the Caribbean with a platform to share best practices, achievements, and challenges related to AMR legislation, budgeting, and implementation. The exchange of experiences regarding policy, budgeting, and implementation offered valuable insights that will help inform future legislative proposals. PAHO provided the latest evidence-based data on AMR, giving parliamentarians a regional perspective. This strengthened the capacity of parliamentarians to integrate PAHO's technical guidance into national AMR legislative and oversight processes.","- Como parte de su iniciativa ""Hablemos de Salud"" - un conjunto de sesiones regionales dedicadas a prioridades globales de salud relevantes, UNITE proporcionó a los parlamentarios de América Latina y el Caribe una plataforma para compartir mejores prácticas, logros y desafíos relacionados con la legislación, el presupuesto y la implementación sobre RAM.
- El intercambio de experiencias—sobre políticas, presupuestos e implementación—ofreció valiosos conocimientos que ayudan a informar futuras propuestas legislativas.
- La OPS proporcionó los últimos datos basados en evidencia sobre RAM, brindando a los parlamentarios un panorama regional.
- Se fortaleció la capacidad de los parlamentarios para integrar la orientación técnica de la OPS en los procesos legislativos y de supervisión nacionales sobre RAM."
NSA-2025-39-A_3,39,,PAHO/OPS & NSA/ANE,"In September 2023, UNITE PAHO and the ""Health Observatory of the University of Buenos Aires"" co-hosted a roundtable titled ""The Future of the Parliamentary Agenda on Digital Health."" The event aimed to foster dialogue on the digital transformation of health and explore strategies for building effective digital health governance mechanisms in Argentina. This roundtable was part of UNITE’s and PAHO’s ongoing collaboration on digital health governance and health-related legislation in the Americas.","En septiembre de 2023, UNITE PAHO y el ""Observatorio de Salud de la Universidad de Buenos Aires"" coorganizaron una mesa redonda titulada ""El Futuro de la Agenda Parlamentaria sobre Salud Digital"". El evento tuvo como objetivo fomentar el diálogo sobre la transformación digital de la salud y explorar estrategias para construir mecanismos de gobernanza de salud digital efectivos en Argentina. Esta mesa redonda formó parte de la colaboración continua de UNITE y PAHO en la gobernanza de la salud digital y la legislación relacionada con la salud en las Américas.","- PAHO, through the participation of Dr. Marcelo D’Agostino, Unit Chief for Information Systems and Digital Health, provided key insights and evidence-based data on the regional digital health landscape.
- The roundtable provided a platform for parliamentarians and experts to engage in dialogue on digital health transformation models in Argentina, with a focus on advancing Universal Health Coverage (UHC).
- Participants discussed the potential creation of governance parameters to ensure security, privacy, interoperability, ethical use of data, equal access, and inclusion.
- Identified the main governance challenges and opportunities in Argentina and Latin America, and gathered expert suggestions for designing effective regulatory structures.
- Incorporated lessons learned and best practices into a set of recommendations for future elected officials.","- La OPS, a través de la participación del Dr. Marcelo D’ Agostino, Jefe de la Unidad de Sistemas de Información y Salud Digital, proporcionó información clave y datos basados en evidencia sobre el panorama de la salud digital en la región.
- La mesa redonda ofreció una plataforma para que parlamentarios y expertos participaran en un diálogo sobre modelos de transformación de la salud digital en Argentina, con un enfoque en avanzar hacia la Cobertura Universal de Salud (CUS).
- Los participantes discutieron la posible creación de parámetros de gobernanza para garantizar la seguridad, la privacidad, la interoperabilidad, el uso ético de los datos, el acceso equitativo y la inclusión.
- Se identificaron los principales desafíos y oportunidades de gobernanza en Argentina y América Latina, y se recopilaron sugerencias de expertos para diseñar estructuras regulatorias efectivas.
- Se incorporaron lecciones aprendidas y mejores prácticas en un conjunto de recomendaciones para futuros funcionarios electos."
NSA-2025-39-A_4,39,,NSA/ANE,"During the World Health Summit 2022, UNITE and WHO held an official session on “The Role of Parliamentarians in the Development of a Global Pandemic Treaty.” PAHO supported the participation of four parliamentarians from the Americas, bringing regional perspectives to discussions. PAHO’s involvement extended beyond facilitating participation, contributing to the integration of regional parliamentary perspectives from the Americas into global discussions on the pandemic agreement.","Durante la Cumbre Mundial de Salud 2022, UNITE y la OMS llevaron a cabo una sesión oficial sobre ""El Papel de los Parlamentarios en el Desarrollo de un Tratado Global sobre Pandemias"". La OPS apoyó la participación de cuatro parlamentarios de las Américas, aportando perspectivas regionales a las discusiones. La participación de la OPS se extendió más allá de facilitar la participación, contribuyendo a la integración de las perspectivas parlamentarias regionales de las Américas en las discusiones globales sobre el acuerdo pandémico.","- Increased parliamentarians' awareness of the importance of a global pandemic agreement.
- Emphasized opportunities for parliamentarians to participate in its discussions.","- Aumentó la conciencia de los parlamentarios sobre la importancia de un acuerdo global sobre pandemias.  
- Destacó las oportunidades para que los parlamentarios participen en sus discusiones."
NSA-2025-39-A_5,39,,NSA/ANE,"At the UNITE Global Summit 2022, UNITE, WHO, and UHC2030 organized a Regional Dialogue on Universal Health Coverage (UHC), involving parliamentarians in discussions about key political drivers, regional advancements, and the mobilization of domestic resources to promote UHC. The dialogue facilitated the sharing of best practices and aimed to raise awareness among parliamentarians about achieving UHC in every country.","En la Cumbre Global UNITE 2022, UNITE, la OMS y UHC2030 organizaron un Diálogo Regional sobre la UHC, involucrando a parlamentarios en discusiones sobre los principales impulsores políticos, el progreso regional y la movilización de recursos internos para avanzar en la UHC. El diálogo promovió el intercambio de mejores prácticas y la concienciación entre los parlamentarios sobre la consecución de la UHC en cada país.","The Summit concluded with the signing of a Declaration of Intent by the attending parliamentarians, which included a strong delegation of members from UNITE's Latin America and the Caribbean Chapter. The declaration endorsed a Health in All Policies approach and emphasized the importance of involving parliamentarians in negotiations for an international Pandemic Agreement. Furthermore, the declaration encouraged multilateralism and international cooperation to strengthen health systems and improve health financing—critical steps toward advancing sustainable health policies and achieving the UN Sustainable Development Goals (SDGs).","- La Cumbre concluyó con la firma de una Declaración de Intenciones por parte de los parlamentarios asistentes, que incluyó una fuerte delegación de miembros del Capítulo de América Latina y el Caribe de UNITE.  
- La declaración respaldó un enfoque de Salud en Todas las Políticas y enfatizó la importancia de involucrar a los parlamentarios en las negociaciones para un Acuerdo Internacional sobre Pandemias.  
- Además, la declaración fomentó el multilateralismo y la cooperación internacional para fortalecer los sistemas de salud y mejorar la financiación de la salud, pasos críticos para avanzar en políticas de salud sostenibles y alcanzar los Objetivos de Desarrollo Sostenible (ODS) de la ONU."
NSA-2025-39-A_6,39,,NSA/ANE,"In 2024, prior to the voting and adoption of the Pandemic Agreement proposal, UNITE launched a communication campaign titled ""Myth vs Reality."" The campaign included a series of questions and explanatory messages designed to clarify the content and negotiation process of the Agreement, as well as to address common myths and misinformation surrounding it.","En 2024, antes de la votación y adopción de la propuesta del Acuerdo sobre Pandemias, UNITE lanzó una campaña de comunicación titulada ""Mito vs Realidad"". La campaña presentó una serie de preguntas y mensajes explicativos destinados a aclarar el contenido y el proceso de negociación del Acuerdo, así como a abordar los mitos comunes y la desinformación que circula en torno a él.","- Enhanced parliamentarians’ knowledge of the Pandemic Agreement — its purpose, relevance to national and global health security, and the fact that its adoption does not compromise national sovereignty or grant WHO authority to impose lockdowns or mandatory vaccinations.  
- The campaign was disseminated through UNITE’s social media channels and later made available on a dedicated webpage, ensuring continued access for parliamentarians, partners, stakeholders, and the general public.","- Aumentar el conocimiento de los parlamentarios sobre el Acuerdo de Pandemia: su propósito, relevancia para la seguridad sanitaria nacional y global, y el hecho de que su adopción no compromete la soberanía nacional ni otorga a la OMS la autoridad para imponer confinamientos o vacunaciones obligatorias.  
- La campaña se difundió a través de los canales de redes sociales de UNITE y posteriormente se hizo disponible en una página web dedicada, asegurando el acceso continuo para parlamentarios, socios, partes interesadas y el público en general."
NSA-2025-39-A_7,39,,PAHO/OPS & NSA/ANE,"On July 4th, 2024, UNITE facilitated a high-level meeting between Dr. Jarbas Barbosa, PAHO Director, and Members of the Portuguese Parliament. The meeting took place at the Portuguese Parliament and provided an opportunity for direct dialogue on regional health priorities and the role of parliamentarians in advancing public health agendas.","El 4 de julio de 2024, UNITE facilitó una reunión de alto nivel entre el Dr. Jarbas Barbosa, Director de la OPS, y miembros del Parlamento Portugués. La reunión tuvo lugar en el Parlamento Portugués y brindó una oportunidad para un diálogo directo sobre las prioridades de salud regional y el papel de los parlamentarios en el avance de las agendas de salud pública.","Dr. Barbosa presented PAHO’s regional work and its collaboration with observer members, including Portugal, as a long-standing and valued partner. He also highlighted PAHO’s initiatives in Portuguese-speaking African countries and expressed the organization’s interest in strengthening its collaboration with the newly elected Parliamentary Health Commission.","- El Dr. Barbosa presentó el trabajo regional de la OPS y su colaboración con los miembros observadores, incluyendo a Portugal, como un socio valioso y de larga data.  
- También destacó las iniciativas de la OPS en los países africanos de habla portuguesa y expresó el interés de la organización en fortalecer su colaboración con la recién elegida Comisión de Salud del Parlamento."
NSA-2025-39-A_8,39,,NSA/ANE,"On April 4th and 5th, 2022, UNITE held a Regional Meeting in Buenos Aires, Argentina, bringing together members of its Latin America and the Caribbean Chapter to discuss strategies for pandemic preparedness and digital health to advance Universal Health Coverage (UHC). The event also featured the participation of representatives from PAHO, UNAIDS, the AIDS Healthcare Foundation (AHF), and the Coalition for Epidemic Preparedness Innovations (CEPI).","El 4 y 5 de abril de 2022, UNITE llevó a cabo una Reunión Regional en Buenos Aires, Argentina, reuniendo a miembros de su Capítulo de América Latina y el Caribe para discutir estrategias para la preparación ante pandemias y la salud digital con el fin de avanzar en la Cobertura Universal de Salud (CUS). El evento también contó con la participación de representantes de la OPS, ONUSIDA, la Fundación de Atención Médica del SIDA (AHF) y la Coalición para las Innovaciones en Preparación Epidémica (CEPI).","-The regional meeting, focused on strengthening the global health architecture for pandemic preparedness, provided a space for parliamentarians from different countries to share experiences and engage in dialogue.  
-PAHO was represented by Dr. Ignacio Ibarra, who shared the actions parliamentarians can actively take to support WHO in the region.  
-Parliamentarians learned and discussed UNITE's 2022 strategy and work plan for the region, and gained crucial tools to advocate for effective pandemic preparedness and Universal Health Coverage (UHC).  
-Discussions also addressed research and development (R&D) investment, the need for a pandemic treaty, and the importance of human rights and digital transformation in achieving the Sustainable Development Goals (SDGs).  
-The meeting concluded with the signing of the first regional declaration in support of a stronger global health architecture.  
-This contributed to consolidating sustained collaboration between PAHO and UNITE’s parliamentary network in the Americas, which has continued through subsequent regional and global initiatives.","- La reunión regional, centrada en fortalecer la arquitectura de salud global para la preparación ante pandemias, proporcionó un espacio para que los parlamentarios de diferentes países compartieran experiencias y participaran en un diálogo.
- La OPS estuvo representada por el Dr. Ignacio Ibarra, quien compartió las acciones que los parlamentarios pueden tomar activamente para apoyar a la OMS en la región.
- Los parlamentarios aprendieron y discutieron la estrategia y el plan de trabajo de UNITE para 2022 en la región, y obtuvieron herramientas cruciales para abogar por una preparación efectiva ante pandemias y la cobertura sanitaria universal (CSU).
- Las discusiones también abordaron la inversión en I+D, la necesidad de un tratado pandémico y la importancia de los derechos humanos y la transformación digital en la consecución de los ODS.
- La reunión concluyó con la firma de la primera declaración regional en apoyo a una arquitectura de salud global más sólida.
- Contribuyó a consolidar la colaboración sostenida entre la OPS y la red parlamentaria de UNITE en las Américas, que ha continuado a través de iniciativas regionales y globales posteriores."
NSA-2025-39-A_9,39,,PAHO/OPS & NSA/ANE,"In April 2025, UNITE, with the support of PAHO, contributed to the establishment of the Diplomats for Health Front in Bolivia — a regional, innovative initiative led by Hon. Cláudio Marte, UNITE member and Ambassador of the Dominican Republic to Bolivia. This experience seeks to inspire similar initiatives in other countries across the Americas.","En abril de 2025, UNITE, con el apoyo de la OPS, contribuyó al establecimiento del Frente de Diplomáticos para la Salud en Bolivia, una iniciativa regional e innovadora liderada por el Hon. Cláudio Marte, miembro de UNITE y Embajador de la República Dominicana en Bolivia. Esta experiencia busca inspirar iniciativas similares en otros países de las Américas.","This initiative reflects a growing recognition of the role of diplomatic engagement in addressing health challenges, promoting research, and fostering international cooperation with PAHO and WHO. By uniting efforts across sectors, it contributes to strengthening global health systems and reducing health inequalities, and may serve as a model for similar efforts in other countries in the region.","- Esta iniciativa refleja un reconocimiento creciente del papel del compromiso diplomático para abordar los desafíos de salud, promover la investigación y fomentar la cooperación internacional con la OPS y la OMS.  
- Al unir esfuerzos entre sectores, contribuye a fortalecer los sistemas de salud globales y reducir las desigualdades en salud, y puede servir como un modelo para esfuerzos similares en otros países de la región."
NSA-2025-39-A_10,39,,NSA/ANE,"In 2023, UNITE launched the “Join Your Delegation” Campaign (JYD), a recurring initiative aimed at encouraging its members to participate in high-level global health forums, such as the World Health Assembly (WHA) and the United Nations General Assembly (UNGA), by formally requesting to be included in their national delegations through their respective Parliaments and Governments.","En 2023, UNITE lanzó la Campaña “Únete a tu Delegación” (JYD), una iniciativa recurrente diseñada para alentar a sus miembros a participar en foros globales de salud de alto nivel, como la Asamblea Mundial de la Salud (AMS) y la Asamblea General de las Naciones Unidas (AGNU), solicitando formalmente su inclusión en las delegaciones nacionales a través de sus respectivos Parlamentos y Gobiernos.","- UNITE developed a campaign briefing and a letter template addressed to Ministers of Health, which parliamentarians could use to support their formal request to join national delegations to WHA76.
- Promotional materials were created for use on personal social media channels, encouraging other parliamentarians to join the campaign and amplify its visibility.
- All materials were shared with UNITE members and published on the dedicated JYD webpage, making them accessible to partners, interested stakeholders, and the general public.","- UNITE desarrolló un informe de campaña y una plantilla de carta dirigida a los Ministros de Salud, que los parlamentarios podrían utilizar para apoyar su solicitud formal de unirse a las delegaciones nacionales en la WHA76.  
- Se crearon materiales promocionales para su uso en los canales de redes sociales personales, animando a otros parlamentarios a unirse a la campaña y amplificar su visibilidad.  
- Todos los materiales se compartieron con los miembros de UNITE y se publicaron en la página web dedicada de JYD, haciéndolos accesibles a socios, partes interesadas y al público en general."
NSA-2025-39-A_11,39,,PAHO/OPS & NSA/ANE,"On September 23rd, 2025, PAHO and UNITE, on the sidelines of UNGA 80 in New York, signed a Memorandum of Understanding aimed at supporting lawmakers in shaping public health policy through informed debate, evidence-based decision-making, and greater alignment with international health standards and priorities.","El 23 de septiembre de 2025, la OPS y UNITE, al margen de la 80ª Asamblea General de la ONU en Nueva York, firmaron un Memorando de Entendimiento destinado a apoyar a los legisladores en la formulación de políticas de salud pública a través de un debate informado, la toma de decisiones basada en evidencia y una mayor alineación con los estándares y prioridades internacionales de salud.","Through the Framework Agreement, both organizations committed to organizing joint initiatives such as technical webinars, workshops, and high-level events focused on strengthening legislative responses to public health challenges. Topics may include health financing, universal health coverage, pandemic preparedness, noncommunicable diseases, and the social and environmental determinants of health.

PAHO will continue to provide technical assistance and share guidance and data to support parliamentarians in shaping policy aligned with regional and global health goals. UNITE will engage its extensive network of parliamentarians to promote knowledge sharing, identify legislative gaps, and foster political will around health reforms.","A través del Acuerdo Marco, ambas organizaciones se comprometieron a organizar iniciativas conjuntas como seminarios web técnicos, talleres y eventos de alto nivel enfocados en fortalecer las respuestas legislativas a los desafíos de salud pública. Los temas pueden incluir financiamiento de la salud, cobertura de salud universal, preparación para pandemias, enfermedades no transmisibles y los determinantes sociales y ambientales de la salud.

La OPS continuará brindando asistencia técnica y compartiendo orientación y datos para apoyar a los parlamentarios en la formulación de políticas alineadas con los objetivos de salud regionales y globales. UNITE involucrará su amplia red de parlamentarios para promover el intercambio de conocimientos, identificar brechas legislativas y fomentar la voluntad política en torno a las reformas de salud."
NSA-2025-39-A_12,39,,PAHO/OPS & NSA/ANE,"Since 2022, UNITE and PAHO have collaborated in the Region through sustained parliamentary engagement on health legislation and governance. This includes consultations on priorities, joint agenda-setting, and PAHO’s technical participation in dialogues and policy discussions organized by UNITE Americas Chapter. Activities support PAHO’s cooperation on health law and governance and have informed legislative debates on digital health, pandemic preparedness, AMR, health financing, and mental health.","Desde 2022, UNITE y la OPS han colaborado en la Región a través de un compromiso parlamentario sostenido en la legislación y gobernanza de la salud. Esto incluye consultas sobre prioridades, establecimiento conjunto de agendas y la participación técnica de la OPS en diálogos y discusiones políticas organizadas por el Capítulo de UNITE América. Las actividades apoyan la cooperación de la OPS en derecho y gobernanza de la salud y han informado los debates legislativos sobre salud digital, preparación para pandemias, resistencia a los antimicrobianos (RAM), financiamiento de la salud y salud mental.","- Strengthened parliamentary capacity to engage with PAHO technical cooperation on health legislation and governance.
- Expanded PAHO’s engagement with legislative actors as part of its multisectoral approach under the Sustainable Health Agenda for the Americas.
- Facilitated regional exchange of legislative experiences and best practices, contributing to more coherent and informed health policymaking.","– Fortalecida la capacidad parlamentaria para interactuar con la cooperación técnica de la OPS en legislación y gobernanza en salud.  
– Ampliada la participación de la OPS con actores legislativos como parte de su enfoque multisectorial bajo la Agenda de Salud Sostenible para las Américas.  
– Facilitado el intercambio regional de experiencias legislativas y mejores prácticas, contribuyendo a una formulación de políticas de salud más coherente e informada."
NSA-2025-38-A_1,38,,PAHO/OPS & NSA/ANE,"Consolidation of preparatory work for the virtual course on sexual health for first-level healthcare professionals. Throughout 2024, an Advisory Group made up of international experts affiliated with WAS and professionals from PAHO/WHO reviewed, agreed upon, and approved the format, objectives, and content of the modules through virtual meetings. The Group continues to oversee the subsequent stages leading to full implementation.","Consolidación del trabajo preparatorio para el curso virtual sobre salud sexual para profesionales de la salud en el primer nivel de atención. Durante 2024, un Grupo Asesor compuesto por expertos internacionales afiliados a la WAS y profesionales de la OPS/OMS revisó, acordó y aprobó el formato, los objetivos y el contenido de los módulos a través de reuniones virtuales. El Grupo continúa supervisando las etapas posteriores que conducen a la implementación completa.","- Progress and the evidence of Systematic Reviews were presented at a joint symposium during the XXII Latin American Congress of Sexology and Sexual Education, ""CLASES 2024"" in Lima, Peru. 
- On World Sexual Health Day, September 4, 2025, PAHO and WAS launched the virtual course ""Sexual Health for Professionals at the First Level of Care,"" available on PAHO's Virtual Campus for Public Health. In the first month after launching the course, 1,800 participants registered on the virtual campus in Spanish.
- Conceptual contribution to the Global Sexual Health Observatory at the University of Porto in Portugal.","- Se presentaron los avances y la evidencia de las Revisiones Sistemáticas en un simposio conjunto durante el XXII Congreso Latinoamericano de Sexología y Educación Sexual, ""CLASES 2024"" en Lima, Perú.  
- En el Día Mundial de la Salud Sexual, el 4 de septiembre de 2025, la OPS y la WAS lanzaron el curso virtual ""Salud Sexual para Profesionales del Primer Nivel de Atención"", disponible en el Campus Virtual de Salud Pública de la OPS. Solo en el primer mes después del lanzamiento del curso, 1.800 participantes se registraron en el campus virtual en español.  
- Contribución conceptual al Observatorio Global de Salud Sexual en la Universidad de Oporto en Portugal."
NSA-2025-35-A_1,35,,PAHO/OPS,"MOD participated in a virtual meeting (Sick & Small Newborns, October 31, 2024) organized by PAHO/WHO to advocate for the rights of children born prematurely, as well as those of their families. MOD presented on the importance of the family voice and family-centered care for families who have a baby in the NICU, drawing on institutional expertise. Representatives from parent groups of preterm babies from ten countries across the Americas were supported.","MOD participó en una reunión virtual (Recién nacidos enfermos y pequeños, 31 de octubre de 2024) organizada por la OPS/OMS para abogar por los derechos de los niños nacidos prematuramente, así como por los de sus familias. MOD presentó sobre la importancia de la voz de la familia y la atención centrada en la familia para las familias que tienen un bebé en la UCI neonatal, basándose en la experiencia institucional. Se brindó apoyo a representantes de grupos de padres de bebés prematuros de diez países de las Américas.",Groups of preterm families from ten priority countries in Latin America and the Caribbean shared their experiences and enhanced their knowledge and skills in communication as a means of strengthening awareness and family participation in providing care for small and sick newborns.,Grupos de familias de recién nacidos prematuros de diez países prioritarios de América Latina y el Caribe compartieron su experiencia y mejoraron su conocimiento y habilidades en comunicación como medio para fortalecer la concienciación y la participación de las familias en la atención de recién nacidos pequeños y enfermos.
NSA-2025-35-A_2,35,,PAHO/OPS,"MOD participated in a webinar coordinated by PAHO: Challenges and Perspectives of Families in Providing Care to Newborns with Cardiac Heart Disease. (August 27, 2024) MOD presented on ""Shaping Policy for Change: Incorporating Family Perspectives."" The MOD policy team discussed the role of civil society in shaping policy, advocating for newborn screening, and incorporating the voices of families in policymaking.","MOD participó en un seminario web coordinado por la OPS: Desafíos y perspectivas de las familias en la atención a recién nacidos con enfermedades cardíacas. (27 de agosto de 2024) MOD presentó sobre ""Dando forma a la política para el cambio: incorporando las perspectivas familiares"". El equipo de políticas de MOD habló sobre el papel de la sociedad civil en la formulación de políticas y sobre la defensa de la detección temprana en recién nacidos, así como la incorporación de la voz de la familia en la toma de decisiones políticas.","Increased awareness of the need to include the perspectives of families in the planning of policies and advocating for them. More than 700 participants, including families and organizations from civil society, attended the meeting.","Aumento de la conciencia sobre la necesidad de incluir las perspectivas de las familias en la planificación de políticas y en la defensa de las mismas. Más de 700 participantes, incluidas familias y organizaciones de la sociedad civil, asistieron a la reunión."
